,titleId,title,titleType,originalTitle,startYear,runtimeMinutes,genres,moyenneVote,NombreVotes
77653,tt0413522,L'école des maris,tvMovie,L'école des maris,2001.0,73.0,"Comedy,Drama",,
77671,tt0413879,Mariage et pièce montée,movie,Cake,2005.0,94.0,"Comedy,Romance",,
77676,tt0413895,Le petit monde de Charlotte,movie,Charlotte's Web,2006.0,97.0,"Adventure,Comedy,Family",,
77677,tt0413900,Un amour de Noël,tvMovie,Single Santa Seeks Mrs. Claus,2004.0,96.0,"Comedy,Family,Fantasy",,
77687,tt0414036,Game Box 1.0,movie,Game Box 1.0,2004.0,83.0,"Fantasy,Sci-Fi",,
77688,tt0414044,Un amour de fantôme,tvMovie,Das Gespenst von Canterville,2005.0,90.0,Comedy,,
77689,tt0414044,Ghost Hotel : Le Fantôme de Canterville,tvMovie,Das Gespenst von Canterville,2005.0,90.0,Comedy,,
77691,tt0414065,La grande embrouille,tvMovie,La grande embrouille,1990.0,74.0,"Comedy,Crime",,
77693,tt0414078,Les Sorcières d'Halloween 3,tvMovie,Halloweentown High,2004.0,82.0,"Comedy,Family,Fantasy",,
77698,tt0414195,Chinaman,movie,Kinamand,2005.0,88.0,"Comedy,Drama,Romance",,
77730,tt0414629,Un truc dans le genre,movie,Un truc dans le genre,2005.0,80.0,Comedy,,
77737,tt0414706,Une mamie envahissante,tvMovie,Zuckeroma,2004.0,90.0,Comedy,,
77751,tt0414852,Banlieue 13,movie,Banlieue 13,2004.0,84.0,"Action,Crime,Sci-Fi",7.1,75681.0
77752,tt0414852,B13 - Banlieue 13,movie,Banlieue 13,2004.0,84.0,"Action,Crime,Sci-Fi",7.1,75681.0
77753,tt0414853,La ferme en folie,movie,Barnyard,2006.0,90.0,"Adventure,Animation,Comedy",,
77757,tt0414902,Ciao bambino,short,Ciao bambino,2004.0,14.0,"Comedy,Short",,
77758,tt0414926,Cruel été,short,Cruel été,1999.0,13.0,"Comedy,Short",,
77759,tt0414931,Breaking News,movie,Dai si gin,2004.0,90.0,"Action,Crime,Drama",,
77774,tt0415080,La Voie Du Jiang Hu,movie,Gong woo,2004.0,85.0,"Action,Crime,Drama",,
77776,tt0415141,Mama's Boy - Fils à maman,movie,Mama's Boy,2007.0,93.0,"Comedy,Drama",,
77785,tt0415257,À la recherche de l'homme idéal,tvMovie,Schöne Männer hat man nie für sich allein,2004.0,92.0,"Comedy,Romance",,
77786,tt0415258,Scoub 2,short,Scoub 2,2003.0,6.0,"Adventure,Comedy,Short",,
77788,tt0415269,Sherlock Holmes à Trouville,short,Sherlock Holmes à Trouville,2001.0,10.0,"Comedy,Short",,
77794,tt0415341,Une femme dans l'urgence,tvMovie,Une femme dans l'urgence,2004.0,100.0,"Comedy,Drama",,
77795,tt0415345,Les 7 Momies,movie,Seven Mummies,2006.0,90.0,"Action,Horror,Thriller",,
77797,tt0415389,Chez les Poulardes,short,Zu Gast bei den Poulardes,2004.0,5.0,"Comedy,Mystery,Short",,
77801,tt0415481,Aliocha Popovitch et Tugarin Zmey,movie,Alyosha Popovich i Tugarin Zmey,2004.0,79.0,"Adventure,Animation,Comedy",,
77802,tt0415495,L'antibruiteur,short,L'antibruiteur,2002.0,6.0,"Comedy,Short",,
77812,tt0415778,Complot à la Maison Blanche,movie,End Game,2006.0,93.0,"Action,Thriller",,
77813,tt0415778,End Game: Complot à la maison blanche,movie,End Game,2006.0,93.0,"Action,Thriller",,
77819,tt0415872,Yesterday Once More,movie,Lung fung dau,2004.0,99.0,"Comedy,Crime,Romance",,
77823,tt0415940,Countdown,movie,Lichnyy nomer,2004.0,100.0,"Action,Adventure,Crime",,
77831,tt0415978,"Moi, toi et tous les autres",movie,Me and You and Everyone We Know,2005.0,85.0,"Comedy,Drama",7.2,38092.0
77836,tt0416071,Ne quittez pas!,movie,Ne quittez pas!,2004.0,102.0,"Comedy,Fantasy",,
77842,tt0416097,P'tits cadeaux,short,P'tits cadeaux,2004.0,9.0,"Comedy,Short",,
77852,tt0416220,Kamikaze Girls,movie,Shimotsuma monogatari,2004.0,102.0,Comedy,,
77853,tt0416236,Les chroniques de Spiderwick,movie,The Spiderwick Chronicles,2008.0,96.0,"Action,Adventure,Drama",,
77862,tt0416331,Monsieur Zucker joue son va-tout,movie,Alles auf Zucker!,2004.0,95.0,"Comedy,Drama",,
77863,tt0416333,Akoibon,movie,Akoibon,2005.0,95.0,"Adventure,Comedy,Romance",,
77890,tt0416473,L'amour déchiré,short,L'amour déchiré,1999.0,5.0,"Comedy,Short",,
77894,tt0416496,Bandidas,movie,Bandidas,2006.0,93.0,"Action,Comedy,Crime",,
77900,tt0416656,Combien?,short,Combien?,2004.0,7.0,"Comedy,Short",,
77911,tt0416717,Le Plus Grand Coup de Poing,movie,En Büyük Yumruk,1983.0,76.0,"Action,Comedy,Crime",,
77914,tt0416768,La star et l'enfant,tvMovie,Naughty or Nice,2004.0,90.0,"Comedy,Drama",,
77917,tt0416775,Insects,movie,Glass Trap,2005.0,90.0,"Action,Adventure,Comedy",,
77918,tt0416785,Gratin,short,Gratin,1998.0,5.0,"Comedy,Short",,
77922,tt0416871,Le guerrier de jade,movie,Jadesoturi,2006.0,104.0,"Action,Adventure,Drama",,
77924,tt0416891,The Kid & I,movie,The Kid & I,2005.0,93.0,Comedy,,
77925,tt0416898,La Chasse à la baleine,short,Kujira tori,2001.0,16.0,"Animation,Short",,
77926,tt0416908,L'étoile de Laura,movie,Lauras Stern,2004.0,75.0,"Animation,Family,Fantasy",,
77932,tt0416988,Le monstre,short,Le monstre,1997.0,5.0,"Comedy,Short",,
77934,tt0417001,La main au collier,movie,Must Love Dogs,2005.0,98.0,"Comedy,Romance",,
77937,tt0417041,Par l'odeur alléché...,movie,Par l'odeur alléché...,2004.0,97.0,Comedy,,
